,S.No,Name,,Imdb,Twitter,Instagram,Fb,,
,1,Ranveer Singh,Film Actor,https://pro.imdb.com/name/nm3828984,https://twitter.com/RanveerOfficial,https://www.instagram.com/ranveersingh/,https://www.facebook.com/RanveerSinghOfficial,,
,2,Shahid Kapoor,Film Actor,https://pro.imdb.com/name/nm1372788,https://twitter.com/shahidkapoor,https://www.instagram.com/shahidkapoor/,https://www.facebook.com/shahidkapoor,,
,3,Akshay Kumar,Film Actor,https://pro.imdb.com/name/nm0474774,https://twitter.com/akshaykumar,https://www.instagram.com/akshaykumar/,https://www.facebook.com/akshaykumarofficial,,
,4,Pulkit Samrat,Film Actor,https://pro.imdb.com/name/nm4992002,https://twitter.com/PulkitSamrat,https://www.instagram.com/pulkitsamrat/,https://www.facebook.com/PulkitSamratUnlocked,,
,5,Salman Khan,Film Actor,https://pro.imdb.com/name/nm0006795,https://twitter.com/BeingSalmanKhan,https://www.instagram.com/beingsalmankhan/,https://www.facebook.com/BeingSalmanKhan,,
,6,ShahRukh Khan,Film Actor,https://pro.imdb.com/name/nm0451321,https://twitter.com/iamsrk,https://www.instagram.com/iamsrk/,https://www.facebook.com/IamSRK,,
,7,Amitabh Bachchan,Film Actor,https://pro.imdb.com/name/nm0000821,https://twitter.com/SrBachchan,https://www.instagram.com/amitabhbachchan/,https://www.facebook.com/AmitabhBachchan,,
,8,Hrithik Roshan,Film Actor,https://pro.imdb.com/name/nm0004335,https://twitter.com/iHrithik,https://www.instagram.com/hrithikroshan/,https://www.facebook.com/hrithikroshan,,
,9,Rajkummar Rao,Film Actor,https://pro.imdb.com/name/nm3822770,https://twitter.com/RajkummarRao,https://www.instagram.com/rajkummar_rao/,https://www.facebook.com/rajkummarrao,,
,10,Sidharth Malhotra,Film Actor,https://pro.imdb.com/name/nm3289096,https://twitter.com/S1dharthM,https://www.instagram.com/s1dofficial/,https://www.facebook.com/s1dmalhotra,,
,11,Varun Dhawan,Film Actor,https://pro.imdb.com/name/nm3315894,https://twitter.com/Varun_dvn,https://www.instagram.com/varundvn/,https://www.facebook.com/VarunDhawan.co,,
,12,Ali Fazal,Film Actor,https://pro.imdb.com/name/nm3170495,https://twitter.com/alifazal9,https://www.instagram.com/alifazal9/,https://www.facebook.com/AliFazalOfficial,,
,13,Aamir Khan,Film Actor,https://pro.imdb.com/name/nm0451148,https://twitter.com/aamir_khan,https://www.instagram.com/_aamirkhan/,https://www.facebook.com/aamirkhan.com,,
,14,Irrfan Khan,Film Actor,https://pro.imdb.com/name/nm0451234,https://twitter.com/irrfank,NA,https://www.facebook.com/irrfanofficial,,
,15,Ajay Devgn,Film Actor,https://pro.imdb.com/name/nm0222426,https://twitter.com/ajaydevgn,https://www.instagram.com/ajaydevgn/,https://www.facebook.com/AjayDevgn,,
,16,Saif Ali Khan,Film Actor,https://pro.imdb.com/name/nm0451307,NA,https://www.instagram.com/saif_alikan/,https://www.facebook.com/saifalikhan,,
,17,Farhan Akhtar,Film Actor,https://pro.imdb.com/name/nm1027719,https://twitter.com/FarOutAkhtar,https://www.instagram.com/faroutakhtar/,https://www.facebook.com/farhanakhtarlive,,
,18,Rajinikanth,Film Actor,https://pro.imdb.com/name/nm0707425,https://twitter.com/rajinikanth,https://www.instagram.com/rajinikanth/,https://www.facebook.com/Rajinikanth,,
,19,Abhishek Bachchan,Film Actor,https://pro.imdb.com/name/nm0045393,https://twitter.com/juniorbachchan,https://www.instagram.com/bachchan/,https://www.facebook.com/AbhishekBachchan,,
